topic_id,year,rank,word_phi,phi,word_relevance,relevance
5,2003,16,chiffon,0.004081987146083029,professional,9.019053173549427
5,2003,17,big,0.003995136355740838,ghost,9.019053173549427
5,2003,18,audience,0.0037345839847142607,ethos,9.019053173549427
5,2003,19,life,0.003676683457819466,architectural,8.96189475970948
5,2003,20,place,0.0035898326674772742,lineup,8.96189475970948
6,2003,1,jacket,0.013215104933410935,catwalk,9.38742296297076
6,2003,2,skirt,0.010989763429080078,con,9.292112783166436
6,2003,3,print,0.009654558526481564,potential,9.292112783166436
6,2003,4,lace,0.009312198295046047,retail,9.240819488778886
6,2003,5,chiffon,0.009038310109897633,human,9.240819488778886
6,2003,6,short,0.008867129994179875,oeuvre,9.129593853668661
6,2003,7,silk,0.008250881577595947,part,9.129593853668661
6,2003,8,white,0.007805813276729775,predictable,9.068969231852227
6,2003,9,satin,0.00749768906843781,intarsia,9.004430710714654
6,2003,10,gown,0.007326508952720052,slit,9.004430710714654
6,2003,11,coat,0.006744496559279674,dévoré,9.004430710714654
6,2003,12,shoulder,0.006402136327844157,passage,8.935437839227703
6,2003,13,pant,0.0061624841658392965,fare,8.935437839227703
6,2003,14,leather,0.0057516518881166765,context,8.935437839227703
6,2003,15,suit,0.005066931425245644,wedding,8.86132986707398
6,2003,16,sleeve,0.004690335170666575,fabrication,8.86132986707398
6,2003,17,high,0.004484919031805265,motion,8.781287159400446
6,2003,18,hand,0.004279502892943956,illusion,8.781287159400446
6,2003,19,strong,0.004211030846656852,buyer,8.781287159400446
6,2003,20,pink,0.004039850730939094,mask,8.694275782410816
7,2003,1,print,0.010637963050388695,catwalk,10.062388119755408
7,2003,2,jacket,0.009977024517672238,price,9.901119972159286
7,2003,3,pant,0.00830894155414975,sunglass,9.470337056066832
7,2003,4,leather,0.008120101973373619,retail,9.256762955768771
7,2003,5,skirt,0.008025682182985553,lineup,9.256762955768771
7,2003,6,white,0.006924117961791459,textile,9.256762955768771
7,2003,7,high,0.006294652692537689,blanket,9.207972791599339
7,2003,8,short,0.006105813111761558,buyer,9.045453862101565
7,2003,9,big,0.0056022408963585435,backpack,8.98482924028513
7,2003,10,shirt,0.0055078211059704785,overlay,8.98482924028513
7,2003,11,young,0.005413401315582413,architectural,8.98482924028513
7,2003,12,coat,0.005318981525194348,meaning,8.98482924028513
7,2003,13,pair,0.005004248890567463,explanation,8.920290719147559
7,2003,14,bright,0.004280363830925628,stock,8.920290719147559
7,2003,15,jean,0.004028577723224121,weather,8.920290719147559
